from http://www.psc.isr.umich.edu/dis/census/Features/tract2zip/,,,
Zip,Median,Mean,Pop
3045,76696.10,85933.28,12705.00
3046,95682.00,112556.00,2226.00
3047,69136.03,80001.52,1686.00
3048,63151.03,70795.41,3333.00
3049,112885.00,159945.00,7013.00
3051,77995.96,88948.46,22952.00
3052,100051.00,102541.00,7331.00
3053,93464.54,104875.66,23364.00
3054,92954.48,100327.95,25094.00
3055,70617.31,80757.16,13437.00
3057,97233.64,110768.96,2091.00
3060,45861.18,58716.94,29540.00
3062,83501.22,94152.48,26234.00
3063,75893.61,85915.60,16175.00
3064,68656.80,83759.65,14652.00
3070,86118.39,108690.97,4097.00
3071,72738.63,85829.92,4294.00
3076,93085.44,103679.62,10913.00
3077,61163.93,69250.87,9669.00
3079,68840.62,87526.08,28011.00
3082,80299.00,77177.00,1519.00
3084,72806.00,85920.00,1270.00
3086,68089.99,97907.39,3775.00
3087,114204.36,134056.18,10705.00
3101,28275.42,44233.88,2754.00
3102,50354.66,60183.56,30331.00
3103,51018.11,59128.99,36749.00
3104,61016.57,74121.15,31954.00
3106,53663.37,67135.08,7285.00
3109,67512.83,73273.76,9484.00
3110,117683.65,146354.63,18257.00
3215,49073.00,61071.00,256.00
3216,64522.00,73462.00,1985.00
3217,44153.00,63301.00,1924.00
3218,65727.00,70499.00,918.00
3220,56585.45,60860.14,6777.00
3221,67313.84,79913.02,1796.00
3222,47953.57,57441.12,5020.00
3223,44546.16,58612.83,2831.00
3224,78500.00,85675.00,1947.00
3225,65803.94,70741.99,2991.00
3226,1341.38,1855.57,30.00
3227,51866.00,69455.00,963.00
3229,86083.00,112531.00,5387.00
3230,62943.00,70846.00,1138.00
3231,64522.00,73462.00,117.00
3233,66146.00,93832.00,154.00
3234,71685.56,76544.90,4026.00
3235,49138.46,54173.43,8470.00
3237,64219.00,78346.00,1878.00
3238,44050.00,54023.00,61.00
3240,54297.00,60586.00,1138.00
3241,70144.00,97030.00,679.00
3242,73472.00,79535.00,4444.00
3243,62943.00,70846.00,991.00
3244,57425.69,65980.81,6950.00
3245,44153.00,63301.00,1937.00
3246,45867.04,60387.54,16437.00
3249,60449.76,85893.64,6763.00
3251,49073.00,61071.00,1269.00
3253,58931.30,74304.98,5890.00
3254,74161.52,102346.47,4478.00
3255,67396.00,80093.00,1738.00
3256,585.01,694.56,16.00
3257,66175.25,93510.51,4053.00
3258,74808.00,84333.00,2221.00
3259,51866.00,69455.00,290.00
3260,67396.00,80093.00,628.00
3261,64816.11,77244.79,3674.00
3262,44050.00,54023.00,1023.00
3263,57987.50,64562.19,3952.00
3264,43783.28,55677.61,6223.00
3266,51840.07,69529.97,2072.00
3268,64522.00,73462.00,1031.00
3269,61702.00,74989.00,2586.00
3273,67396.00,80093.00,347.00
3275,58387.89,69107.91,11732.00
3276,55930.65,60461.92,7952.00
3278,63262.01,71038.21,2897.00
3279,44050.00,54023.00,807.00
3280,52648.00,63213.00,895.00
3281,78480.00,88983.00,7775.00
3282,59259.00,66151.00,791.00
3284,81000.00,87997.00,736.00
3285,49073.00,61071.00,1823.00
3287,62943.00,70846.00,1076.00
3290,98477.27,105299.05,3590.00
3291,98542.00,105353.00,51.00
3293,44050.00,54023.00,114.00
3301,52876.24,72337.67,31800.00
3303,57450.10,64969.69,14137.00
3304,103269.76,119135.57,7136.00
3307,74569.52,93317.32,4497.00
3431,49287.67,64159.35,24237.00
3440,61480.94,66225.33,2487.00
3441,36932.00,48336.00,312.00
3442,67351.00,77729.00,1409.00
3443,79400.00,100196.00,695.00
3444,60369.00,74292.00,1473.00
3445,60369.00,74292.00,755.00
3446,52053.00,62433.00,5949.00
3447,67839.00,76203.00,2151.00
3448,55170.00,68978.00,802.00
3449,64231.00,93445.00,1738.00
3450,60369.00,74292.00,1065.00
3451,44533.29,50538.67,4118.00
3452,56637.00,71304.00,5477.00
3455,55913.18,65606.12,2036.00
3456,55170.00,68978.00,749.00
3457,60369.00,74292.00,698.00
3458,70274.69,86327.84,6274.00
3461,68250.00,78731.00,5444.00
3462,79400.00,100196.00,1607.00
3464,60369.00,74292.00,876.00
3465,55910.15,65535.68,1969.00
3466,79400.00,100196.00,1259.00
3467,79400.00,100196.00,1722.00
3470,43641.91,54385.93,4840.00
3561,44787.04,53311.58,5864.00
3570,39342.01,45739.72,10270.00
3574,58082.00,67369.00,2201.00
3575,60741.00,70341.00,59.00
3576,36884.10,47520.70,3475.00
3579,41891.34,44964.78,372.00
3580,56505.35,66182.20,1193.00
3581,43217.00,61600.00,3271.00
3582,35740.00,41166.00,2715.00
3583,60741.00,70341.00,1005.00
3584,46888.83,64494.40,3512.00
3585,50406.00,61591.00,2414.00
3586,58082.00,67369.00,535.00
3588,52026.00,55843.00,1640.00
3590,35828.10,42695.01,1236.00
3592,38616.00,46857.00,1146.00
3593,60741.00,70341.00,338.00
3595,60741.00,70341.00,600.00
3597,38549.56,46725.54,389.00
3598,48061.00,53959.00,2966.00
3601,58667.00,63858.00,398.00
3602,56041.45,67702.10,2584.00
3603,49290.48,54964.63,5027.00
3604,58112.00,62174.00,29.00
3605,52648.00,63213.00,971.00
3607,58667.00,63858.00,316.00
3608,58112.00,62174.00,2887.00
3609,58112.00,62174.00,672.00
3740,50092.50,61154.24,760.00
3741,60392.14,64936.66,3590.00
3743,42247.10,51372.35,13840.00
3745,77619.00,93315.00,1468.00
3746,77619.00,93315.00,194.00
3748,61495.56,70303.44,4747.00
3750,110729.00,170957.00,951.00
3751,64611.19,77238.62,308.00
3752,52648.00,63213.00,746.00
3753,81000.00,87997.00,2169.00
3754,45794.00,50574.00,19.00
