"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Escambia County, Florida",0.456,0.009
"Flagler County, Florida",0.423,0.02
"Franklin County, Florida",0.478,0.038
"Gadsden County, Florida",0.459,0.027
"Gilchrist County, Florida",0.435,0.03
"Glades County, Florida",0.425,0.039
"Gulf County, Florida",0.419,0.035
"Hamilton County, Florida",0.489,0.05
"Hardee County, Florida",0.408,0.04
"Hendry County, Florida",0.422,0.021
"Hernando County, Florida",0.42,0.013
"Highlands County, Florida",0.413,0.011
"Hillsborough County, Florida",0.467,0.005
"Holmes County, Florida",0.415,0.021
"Indian River County, Florida",0.511,0.018
"Jackson County, Florida",0.429,0.017
"Jefferson County, Florida",0.43,0.039
"Lafayette County, Florida",0.38,0.033
"Lake County, Florida",0.431,0.009
"Lee County, Florida",0.471,0.007
"Leon County, Florida",0.488,0.009
"Levy County, Florida",0.441,0.019
"Liberty County, Florida",0.452,0.033
"Madison County, Florida",0.415,0.025
"Manatee County, Florida",0.459,0.008
"Marion County, Florida",0.443,0.01
"Martin County, Florida",0.512,0.012
"Miami-Dade County, Florida",0.503,0.004
"Monroe County, Florida",0.505,0.019
"Nassau County, Florida",0.429,0.017
"Okaloosa County, Florida",0.43,0.012
"Okeechobee County, Florida",0.471,0.04
"Orange County, Florida",0.456,0.005
"Osceola County, Florida",0.401,0.008
"Palm Beach County, Florida",0.505,0.005
"Pasco County, Florida",0.429,0.006
"Pinellas County, Florida",0.464,0.005
"Polk County, Florida",0.432,0.007
"Putnam County, Florida",0.45,0.014
"St. Johns County, Florida",0.482,0.01
"St. Lucie County, Florida",0.43,0.012
"Santa Rosa County, Florida",0.403,0.01
"Sarasota County, Florida",0.483,0.008
"Seminole County, Florida",0.443,0.007
"Sumter County, Florida",0.411,0.017
"Suwannee County, Florida",0.439,0.021
"Taylor County, Florida",0.44,0.029
"Union County, Florida",0.406,0.03
"Volusia County, Florida",0.451,0.007
"Wakulla County, Florida",0.382,0.023
"Walton County, Florida",0.483,0.023
"Washington County, Florida",0.444,0.036
"Appling County, Georgia",0.422,0.02
"Atkinson County, Georgia",0.447,0.036
"Bacon County, Georgia",0.46,0.03
"Baker County, Georgia",0.511,0.062
"Baldwin County, Georgia",0.457,0.016
"Banks County, Georgia",0.437,0.022
"Barrow County, Georgia",0.398,0.016
"Bartow County, Georgia",0.429,0.016
"Ben Hill County, Georgia",0.466,0.031
"Berrien County, Georgia",0.43,0.021
"Bibb County, Georgia",0.495,0.012
"Bleckley County, Georgia",0.491,0.053
"Brantley County, Georgia",0.433,0.024
"Brooks County, Georgia",0.437,0.032
"Bryan County, Georgia",0.422,0.033
"Bulloch County, Georgia",0.478,0.015
"Burke County, Georgia",0.451,0.027
"Butts County, Georgia",0.391,0.029
"Calhoun County, Georgia",0.446,0.041
"Camden County, Georgia",0.404,0.019
