"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Sargent County, North Dakota",0.411,0.043
"Sheridan County, North Dakota",0.453,0.065
"Sioux County, North Dakota",0.556,0.087
"Slope County, North Dakota",0.423,0.037
"Stark County, North Dakota",0.422,0.017
"Steele County, North Dakota",0.453,0.046
"Stutsman County, North Dakota",0.421,0.019
"Towner County, North Dakota",0.43,0.031
"Traill County, North Dakota",0.383,0.016
"Walsh County, North Dakota",0.419,0.024
"Ward County, North Dakota",0.417,0.018
"Wells County, North Dakota",0.436,0.028
"Williams County, North Dakota",0.41,0.015
"Adams County, Ohio",0.466,0.034
"Allen County, Ohio",0.432,0.01
"Ashland County, Ohio",0.405,0.015
"Ashtabula County, Ohio",0.412,0.01
"Athens County, Ohio",0.492,0.012
"Auglaize County, Ohio",0.405,0.038
"Belmont County, Ohio",0.416,0.012
"Brown County, Ohio",0.389,0.016
"Butler County, Ohio",0.427,0.007
"Carroll County, Ohio",0.403,0.029
"Champaign County, Ohio",0.419,0.025
"Clark County, Ohio",0.418,0.009
"Clermont County, Ohio",0.419,0.01
"Clinton County, Ohio",0.414,0.016
"Columbiana County, Ohio",0.413,0.012
"Coshocton County, Ohio",0.417,0.024
"Crawford County, Ohio",0.393,0.016
"Cuyahoga County, Ohio",0.485,0.004
"Darke County, Ohio",0.397,0.012
"Defiance County, Ohio",0.402,0.014
"Delaware County, Ohio",0.431,0.012
"Erie County, Ohio",0.43,0.012
"Fairfield County, Ohio",0.408,0.013
"Fayette County, Ohio",0.412,0.02
"Franklin County, Ohio",0.46,0.004
"Fulton County, Ohio",0.372,0.014
"Gallia County, Ohio",0.467,0.022
"Geauga County, Ohio",0.449,0.019
"Greene County, Ohio",0.433,0.012
"Guernsey County, Ohio",0.417,0.014
"Hamilton County, Ohio",0.493,0.005
"Hancock County, Ohio",0.42,0.013
"Hardin County, Ohio",0.426,0.02
"Harrison County, Ohio",0.439,0.033
"Henry County, Ohio",0.386,0.015
"Highland County, Ohio",0.409,0.013
"Hocking County, Ohio",0.396,0.013
"Holmes County, Ohio",0.415,0.027
"Huron County, Ohio",0.399,0.018
"Jackson County, Ohio",0.457,0.027
"Jefferson County, Ohio",0.437,0.014
"Knox County, Ohio",0.403,0.015
"Lake County, Ohio",0.405,0.009
"Lawrence County, Ohio",0.434,0.017
"Licking County, Ohio",0.414,0.008
"Logan County, Ohio",0.413,0.024
"Lorain County, Ohio",0.423,0.006
"Lucas County, Ohio",0.474,0.009
"Madison County, Ohio",0.45,0.028
"Mahoning County, Ohio",0.464,0.011
"Marion County, Ohio",0.42,0.014
"Medina County, Ohio",0.392,0.008
"Meigs County, Ohio",0.423,0.018
"Mercer County, Ohio",0.387,0.014
"Miami County, Ohio",0.399,0.011
"Monroe County, Ohio",0.405,0.018
"Montgomery County, Ohio",0.45,0.006
"Morgan County, Ohio",0.439,0.057
"Morrow County, Ohio",0.355,0.014
"Muskingum County, Ohio",0.436,0.011
"Noble County, Ohio",0.435,0.028
"Ottawa County, Ohio",0.409,0.012
"Paulding County, Ohio",0.37,0.014
"Perry County, Ohio",0.409,0.016
"Pickaway County, Ohio",0.387,0.011
"Pike County, Ohio",0.432,0.017
"Portage County, Ohio",0.433,0.01
"Preble County, Ohio",0.398,0.017
"Putnam County, Ohio",0.368,0.012
"Richland County, Ohio",0.407,0.01
"Ross County, Ohio",0.437,0.018
"Sandusky County, Ohio",0.375,0.01
"Scioto County, Ohio",0.451,0.013
"Seneca County, Ohio",0.396,0.012
"Shelby County, Ohio",0.382,0.013
"Stark County, Ohio",0.44,0.007
"Summit County, Ohio",0.456,0.005
"Trumbull County, Ohio",0.418,0.008
"Tuscarawas County, Ohio",0.402,0.01
"Union County, Ohio",0.381,0.017
"Van Wert County, Ohio",0.369,0.015
"Vinton County, Ohio",0.414,0.021
"Warren County, Ohio",0.404,0.007
"Washington County, Ohio",0.44,0.018
"Wayne County, Ohio",0.409,0.011
"Williams County, Ohio",0.387,0.013
"Wood County, Ohio",0.438,0.015
"Wyandot County, Ohio",0.383,0.023
"Adair County, Oklahoma",0.444,0.017
"Alfalfa County, Oklahoma",0.443,0.039
"Atoka County, Oklahoma",0.471,0.056
"Beaver County, Oklahoma",0.411,0.024
"Beckham County, Oklahoma",0.434,0.021
"Blaine County, Oklahoma",0.451,0.03
"Bryan County, Oklahoma",0.437,0.016
"Caddo County, Oklahoma",0.419,0.014
"Canadian County, Oklahoma",0.387,0.011
"Carter County, Oklahoma",0.448,0.017
"Cherokee County, Oklahoma",0.452,0.016
"Choctaw County, Oklahoma",0.47,0.021
"Cimarron County, Oklahoma",0.394,0.031
"Cleveland County, Oklahoma",0.43,0.009
"Coal County, Oklahoma",0.419,0.02
"Comanche County, Oklahoma",0.419,0.012
"Cotton County, Oklahoma",0.409,0.029
"Craig County, Oklahoma",0.4,0.026
"Creek County, Oklahoma",0.434,0.018
"Custer County, Oklahoma",0.446,0.023
"Delaware County, Oklahoma",0.482,0.039
"Dewey County, Oklahoma",0.454,0.035
"Ellis County, Oklahoma",0.435,0.02
"Garfield County, Oklahoma",0.445,0.017
"Garvin County, Oklahoma",0.457,0.026
"Grady County, Oklahoma",0.418,0.013
"Grant County, Oklahoma",0.402,0.019
"Greer County, Oklahoma",0.407,0.03
"Harmon County, Oklahoma",0.466,0.039
"Harper County, Oklahoma",0.422,0.06
"Haskell County, Oklahoma",0.443,0.026
"Hughes County, Oklahoma",0.462,0.02
"Jackson County, Oklahoma",0.426,0.019
"Jefferson County, Oklahoma",0.446,0.03
"Johnston County, Oklahoma",0.48,0.065
"Kay County, Oklahoma",0.444,0.017
"Kingfisher County, Oklahoma",0.405,0.027
"Kiowa County, Oklahoma",0.462,0.031
"Latimer County, Oklahoma",0.427,0.027
"Le Flore County, Oklahoma",0.422,0.015
"Lincoln County, Oklahoma",0.43,0.017
"Logan County, Oklahoma",0.47,0.024
"Love County, Oklahoma",0.419,0.025
"McClain County, Oklahoma",0.391,0.016
"McCurtain County, Oklahoma",0.464,0.015
"McIntosh County, Oklahoma",0.42,0.021
"Major County, Oklahoma",0.435,0.029
"Marshall County, Oklahoma",0.393,0.028
"Mayes County, Oklahoma",0.406,0.016
"Murray County, Oklahoma",0.403,0.037
"Muskogee County, Oklahoma",0.445,0.015
"Noble County, Oklahoma",0.416,0.025
"Nowata County, Oklahoma",0.48,0.122
"Okfuskee County, Oklahoma",0.402,0.023
"Oklahoma County, Oklahoma",0.49,0.006
"Okmulgee County, Oklahoma",0.422,0.015
"Osage County, Oklahoma",0.44,0.016
"Ottawa County, Oklahoma",0.425,0.012
"Pawnee County, Oklahoma",0.421,0.019
"Payne County, Oklahoma",0.485,0.012
"Pittsburg County, Oklahoma",0.442,0.015
"Pontotoc County, Oklahoma",0.465,0.016
"Pottawatomie County, Oklahoma",0.432,0.015
"Pushmataha County, Oklahoma",0.445,0.023
"Roger Mills County, Oklahoma",0.505,0.056
"Rogers County, Oklahoma",0.393,0.012
"Seminole County, Oklahoma",0.453,0.023
"Sequoyah County, Oklahoma",0.438,0.025
"Stephens County, Oklahoma",0.438,0.019
"Texas County, Oklahoma",0.457,0.066
"Tillman County, Oklahoma",0.414,0.025
"Tulsa County, Oklahoma",0.478,0.007
"Wagoner County, Oklahoma",0.391,0.014
"Washington County, Oklahoma",0.469,0.02
"Washita County, Oklahoma",0.429,0.02
"Woods County, Oklahoma",0.447,0.049
"Woodward County, Oklahoma",0.432,0.028
"Baker County, Oregon",0.45,0.022
"Benton County, Oregon",0.472,0.013
"Clackamas County, Oregon",0.44,0.007
"Clatsop County, Oregon",0.443,0.033
"Columbia County, Oregon",0.38,0.013
"Coos County, Oregon",0.448,0.017
"Crook County, Oregon",0.379,0.023
"Curry County, Oregon",0.447,0.027
"Deschutes County, Oregon",0.43,0.01
"Douglas County, Oregon",0.414,0.011
"Gilliam County, Oregon",0.381,0.028
"Grant County, Oregon",0.436,0.022
"Harney County, Oregon",0.414,0.025
"Hood River County, Oregon",0.405,0.029
"Jackson County, Oregon",0.442,0.01
"Jefferson County, Oregon",0.427,0.057
"Josephine County, Oregon",0.453,0.013
"Klamath County, Oregon",0.44,0.017
"Lake County, Oregon",0.454,0.043
"Lane County, Oregon",0.454,0.008
"Lincoln County, Oregon",0.449,0.012
"Linn County, Oregon",0.405,0.011
"Malheur County, Oregon",0.419,0.015
"Marion County, Oregon",0.422,0.009
"Morrow County, Oregon",0.403,0.023
"Multnomah County, Oregon",0.468,0.004
"Polk County, Oregon",0.41,0.012
"Sherman County, Oregon",0.397,0.031
"Tillamook County, Oregon",0.439,0.019
"Umatilla County, Oregon",0.408,0.017
"Union County, Oregon",0.454,0.021
"Wallowa County, Oregon",0.419,0.022
"Wasco County, Oregon",0.419,0.015
"Washington County, Oregon",0.417,0.005
"Wheeler County, Oregon",0.436,0.047
"Yamhill County, Oregon",0.425,0.027
"Adams County, Pennsylvania",0.388,0.011
"Allegheny County, Pennsylvania",0.483,0.004
"Armstrong County, Pennsylvania",0.404,0.011
"Beaver County, Pennsylvania",0.418,0.008
"Bedford County, Pennsylvania",0.408,0.013
"Berks County, Pennsylvania",0.421,0.008
"Blair County, Pennsylvania",0.443,0.017
"Bradford County, Pennsylvania",0.421,0.01
"Bucks County, Pennsylvania",0.425,0.006
"Butler County, Pennsylvania",0.425,0.007
"Cambria County, Pennsylvania",0.424,0.007
"Cameron County, Pennsylvania",0.378,0.022
"Carbon County, Pennsylvania",0.388,0.013
"Centre County, Pennsylvania",0.467,0.013
"Chester County, Pennsylvania",0.447,0.006
"Clarion County, Pennsylvania",0.43,0.015
"Clearfield County, Pennsylvania",0.422,0.012
"Clinton County, Pennsylvania",0.404,0.011
"Columbia County, Pennsylvania",0.447,0.021
"Crawford County, Pennsylvania",0.426,0.012
"Cumberland County, Pennsylvania",0.409,0.007
"Dauphin County, Pennsylvania",0.427,0.007
"Delaware County, Pennsylvania",0.461,0.006
"Elk County, Pennsylvania",0.387,0.015
"Erie County, Pennsylvania",0.44,0.007
"Fayette County, Pennsylvania",0.434,0.011
"Forest County, Pennsylvania",0.399,0.023
"Franklin County, Pennsylvania",0.403,0.012
"Fulton County, Pennsylvania",0.399,0.013
"Greene County, Pennsylvania",0.429,0.014
"Huntingdon County, Pennsylvania",0.417,0.013
"Indiana County, Pennsylvania",0.437,0.012
"Jefferson County, Pennsylvania",0.432,0.017
"Juniata County, Pennsylvania",0.389,0.021
"Lackawanna County, Pennsylvania",0.452,0.009
"Lancaster County, Pennsylvania",0.415,0.006
"Lawrence County, Pennsylvania",0.418,0.012
"Lebanon County, Pennsylvania",0.402,0.009
"Lehigh County, Pennsylvania",0.438,0.006
"Luzerne County, Pennsylvania",0.444,0.006
"Lycoming County, Pennsylvania",0.428,0.013
"McKean County, Pennsylvania",0.421,0.022
"Mercer County, Pennsylvania",0.422,0.009
"Mifflin County, Pennsylvania",0.404,0.019
"Monroe County, Pennsylvania",0.4,0.01
"Montgomery County, Pennsylvania",0.454,0.004
"Montour County, Pennsylvania",0.451,0.017
"Northampton County, Pennsylvania",0.419,0.006
"Northumberland County, Pennsylvania",0.42,0.009
"Perry County, Pennsylvania",0.356,0.009
"Philadelphia County, Pennsylvania",0.494,0.004
"Pike County, Pennsylvania",0.415,0.02
"Potter County, Pennsylvania",0.426,0.02
"Schuylkill County, Pennsylvania",0.41,0.006
"Snyder County, Pennsylvania",0.411,0.017
"Somerset County, Pennsylvania",0.419,0.009
"Sullivan County, Pennsylvania",0.412,0.02
"Susquehanna County, Pennsylvania",0.405,0.01
"Tioga County, Pennsylvania",0.411,0.008
"Union County, Pennsylvania",0.446,0.021
"Venango County, Pennsylvania",0.404,0.012
"Warren County, Pennsylvania",0.407,0.017
"Washington County, Pennsylvania",0.435,0.008
"Wayne County, Pennsylvania",0.419,0.014
"Westmoreland County, Pennsylvania",0.433,0.005
"Wyoming County, Pennsylvania",0.393,0.01
"York County, Pennsylvania",0.399,0.005
"Bristol County, Rhode Island",0.473,0.017
"Kent County, Rhode Island",0.419,0.009
"Newport County, Rhode Island",0.45,0.017
"Providence County, Rhode Island",0.462,0.005
"Washington County, Rhode Island",0.437,0.013
"Abbeville County, South Carolina",0.448,0.016
"Aiken County, South Carolina",0.463,0.013
"Allendale County, South Carolina",0.582,0.05
"Anderson County, South Carolina",0.449,0.013
"Bamberg County, South Carolina",0.482,0.043
"Barnwell County, South Carolina",0.466,0.031
"Beaufort County, South Carolina",0.471,0.011
"Berkeley County, South Carolina",0.405,0.012
"Calhoun County, South Carolina",0.437,0.021
"Charleston County, South Carolina",0.498,0.009
"Cherokee County, South Carolina",0.439,0.015
"Chester County, South Carolina",0.449,0.018
"Chesterfield County, South Carolina",0.447,0.016
"Clarendon County, South Carolina",0.438,0.016
"Colleton County, South Carolina",0.45,0.019
"Darlington County, South Carolina",0.456,0.017
"Dillon County, South Carolina",0.46,0.024
"Dorchester County, South Carolina",0.395,0.011
"Edgefield County, South Carolina",0.455,0.025
"Fairfield County, South Carolina",0.48,0.023
"Florence County, South Carolina",0.465,0.013
"Georgetown County, South Carolina",0.497,0.025
"Greenville County, South Carolina",0.47,0.007
"Greenwood County, South Carolina",0.464,0.018
"Hampton County, South Carolina",0.446,0.03
"Horry County, South Carolina",0.449,0.011
"Jasper County, South Carolina",0.462,0.033
"Kershaw County, South Carolina",0.43,0.022
"Lancaster County, South Carolina",0.432,0.013
"Laurens County, South Carolina",0.416,0.015
"Lee County, South Carolina",0.473,0.022
"Lexington County, South Carolina",0.416,0.007
"McCormick County, South Carolina",0.47,0.053
"Marion County, South Carolina",0.465,0.019
"Marlboro County, South Carolina",0.456,0.029
"Newberry County, South Carolina",0.445,0.025
"Oconee County, South Carolina",0.474,0.023
"Orangeburg County, South Carolina",0.486,0.013
"Pickens County, South Carolina",0.441,0.011
"Richland County, South Carolina",0.462,0.007
"Saluda County, South Carolina",0.417,0.023
"Spartanburg County, South Carolina",0.447,0.009
"Sumter County, South Carolina",0.435,0.012
"Union County, South Carolina",0.454,0.018
"Williamsburg County, South Carolina",0.471,0.018
"York County, South Carolina",0.43,0.009
"Aurora County, South Dakota",0.405,0.03
"Beadle County, South Dakota",0.424,0.03
"Bennett County, South Dakota",0.494,0.061
"Bon Homme County, South Dakota",0.426,0.03
"Brookings County, South Dakota",0.425,0.016
"Brown County, South Dakota",0.422,0.019
"Brule County, South Dakota",0.342,0.043
"Buffalo County, South Dakota",0.494,0.074
"Butte County, South Dakota",0.4,0.032
"Campbell County, South Dakota",0.396,0.028
"Charles Mix County, South Dakota",0.446,0.024
"Clark County, South Dakota",0.486,0.066
"Clay County, South Dakota",0.479,0.036
"Codington County, South Dakota",0.45,0.025
"Corson County, South Dakota",0.509,0.07
"Custer County, South Dakota",0.389,0.028
"Davison County, South Dakota",0.424,0.033
"Day County, South Dakota",0.42,0.026
"Deuel County, South Dakota",0.373,0.027
"Dewey County, South Dakota",0.491,0.049
"Douglas County, South Dakota",0.405,0.038
"Edmunds County, South Dakota",0.436,0.033
"Fall River County, South Dakota",0.458,0.044
"Faulk County, South Dakota",0.479,0.046
"Grant County, South Dakota",0.388,0.027
"Gregory County, South Dakota",0.448,0.032
"Haakon County, South Dakota",0.408,0.062
"Hamlin County, South Dakota",0.42,0.034
"Hand County, South Dakota",0.378,0.024
"Hanson County, South Dakota",0.416,0.049
"Harding County, South Dakota",0.442,0.045
"Hughes County, South Dakota",0.421,0.026
"Hutchinson County, South Dakota",0.459,0.031
"Hyde County, South Dakota",0.458,0.05
"Jackson County, South Dakota",0.421,0.067
"Jerauld County, South Dakota",0.48,0.046
"Jones County, South Dakota",0.391,0.07
"Kingsbury County, South Dakota",0.401,0.036
"Lake County, South Dakota",0.408,0.024
"Lawrence County, South Dakota",0.455,0.025
"Lincoln County, South Dakota",0.432,0.028
"Lyman County, South Dakota",0.37,0.025
"McCook County, South Dakota",0.482,0.06
"McPherson County, South Dakota",0.461,0.026
"Marshall County, South Dakota",0.451,0.049
"Meade County, South Dakota",0.377,0.016
"Mellette County, South Dakota",0.461,0.032
"Miner County, South Dakota",0.437,0.047
"Minnehaha County, South Dakota",0.422,0.01
"Moody County, South Dakota",0.38,0.046
"Pennington County, South Dakota",0.454,0.029
"Perkins County, South Dakota",0.547,0.08
"Potter County, South Dakota",0.426,0.04
"Roberts County, South Dakota",0.453,0.02
"Sanborn County, South Dakota",0.387,0.027
"Shannon County, South Dakota",0.446,0.031
"Spink County, South Dakota",0.474,0.037
"Stanley County, South Dakota",0.422,0.048
"Sully County, South Dakota",0.406,0.055
"Todd County, South Dakota",0.498,0.039
"Tripp County, South Dakota",0.418,0.034
"Turner County, South Dakota",0.393,0.023
"Union County, South Dakota",0.469,0.065
"Walworth County, South Dakota",0.488,0.055
"Yankton County, South Dakota",0.458,0.028
"Ziebach County, South Dakota",0.485,0.036
"Anderson County, Tennessee",0.453,0.015
"Bedford County, Tennessee",0.457,0.022
"Benton County, Tennessee",0.426,0.018
"Bledsoe County, Tennessee",0.393,0.029
"Blount County, Tennessee",0.429,0.013
"Bradley County, Tennessee",0.459,0.019
"Campbell County, Tennessee",0.456,0.019
"Cannon County, Tennessee",0.401,0.023
"Carroll County, Tennessee",0.46,0.027
"Carter County, Tennessee",0.44,0.015
"Cheatham County, Tennessee",0.394,0.019
"Chester County, Tennessee",0.396,0.03
"Claiborne County, Tennessee",0.451,0.031
"Clay County, Tennessee",0.443,0.037
"Cocke County, Tennessee",0.474,0.024
"Coffee County, Tennessee",0.436,0.018
"Crockett County, Tennessee",0.465,0.052
"Cumberland County, Tennessee",0.444,0.026
"Davidson County, Tennessee",0.487,0.006
"Decatur County, Tennessee",0.5,0.047
"DeKalb County, Tennessee",0.466,0.031
"Dickson County, Tennessee",0.41,0.016
"Dyer County, Tennessee",0.455,0.026
"Fayette County, Tennessee",0.446,0.018
"Fentress County, Tennessee",0.487,0.03
"Franklin County, Tennessee",0.427,0.017
"Gibson County, Tennessee",0.463,0.021
"Giles County, Tennessee",0.454,0.027
"Grainger County, Tennessee",0.446,0.025
"Greene County, Tennessee",0.425,0.014
"Grundy County, Tennessee",0.439,0.024
"Hamblen County, Tennessee",0.452,0.025
"Hamilton County, Tennessee",0.48,0.008
"Hancock County, Tennessee",0.452,0.037
"Hardeman County, Tennessee",0.455,0.034
"Hardin County, Tennessee",0.473,0.025
"Hawkins County, Tennessee",0.441,0.019
"Haywood County, Tennessee",0.454,0.019
"Henderson County, Tennessee",0.427,0.016
"Henry County, Tennessee",0.439,0.023
"Hickman County, Tennessee",0.399,0.022
"Houston County, Tennessee",0.449,0.028
"Humphreys County, Tennessee",0.401,0.022
"Jackson County, Tennessee",0.435,0.038
"Jefferson County, Tennessee",0.44,0.016
"Johnson County, Tennessee",0.431,0.023
"Knox County, Tennessee",0.475,0.007
"Lake County, Tennessee",0.483,0.034
"Lauderdale County, Tennessee",0.461,0.028
"Lawrence County, Tennessee",0.438,0.027
"Lewis County, Tennessee",0.44,0.03
"Lincoln County, Tennessee",0.448,0.022
"Loudon County, Tennessee",0.453,0.024
"McMinn County, Tennessee",0.434,0.015
"McNairy County, Tennessee",0.476,0.036
"Macon County, Tennessee",0.453,0.04
"Madison County, Tennessee",0.496,0.019
"Marion County, Tennessee",0.455,0.019
"Marshall County, Tennessee",0.414,0.019
"Maury County, Tennessee",0.423,0.017
"Meigs County, Tennessee",0.445,0.048
"Monroe County, Tennessee",0.435,0.02
"Montgomery County, Tennessee",0.408,0.012
"Moore County, Tennessee",0.49,0.063
"Morgan County, Tennessee",0.438,0.031
"Obion County, Tennessee",0.444,0.036
"Overton County, Tennessee",0.425,0.024
"Perry County, Tennessee",0.423,0.025
"Pickett County, Tennessee",0.497,0.053
"Polk County, Tennessee",0.428,0.025
"Putnam County, Tennessee",0.478,0.017
"Rhea County, Tennessee",0.421,0.02
"Roane County, Tennessee",0.44,0.018
"Robertson County, Tennessee",0.398,0.02
"Rutherford County, Tennessee",0.402,0.012
"Scott County, Tennessee",0.423,0.019
"Sequatchie County, Tennessee",0.44,0.033
"Sevier County, Tennessee",0.433,0.017
"Shelby County, Tennessee",0.495,0.005
"Smith County, Tennessee",0.445,0.025
"Stewart County, Tennessee",0.425,0.024
"Sullivan County, Tennessee",0.465,0.009
"Sumner County, Tennessee",0.418,0.008
"Tipton County, Tennessee",0.415,0.019
"Trousdale County, Tennessee",0.425,0.039
"Unicoi County, Tennessee",0.456,0.039
"Union County, Tennessee",0.433,0.021
"Van Buren County, Tennessee",0.49,0.072
"Warren County, Tennessee",0.464,0.021
"Washington County, Tennessee",0.477,0.011
"Wayne County, Tennessee",0.408,0.023
"Weakley County, Tennessee",0.485,0.021
"White County, Tennessee",0.424,0.022
"Williamson County, Tennessee",0.442,0.01
"Wilson County, Tennessee",0.406,0.013
"Anderson County, Texas",0.465,0.024
"Andrews County, Texas",0.531,0.085
"Angelina County, Texas",0.452,0.018
"Aransas County, Texas",0.47,0.026
"Archer County, Texas",0.409,0.023
"Armstrong County, Texas",0.375,0.045
"Atascosa County, Texas",0.429,0.02
"Austin County, Texas",0.452,0.023
"Bailey County, Texas",0.427,0.06
"Bandera County, Texas",0.452,0.029
"Bastrop County, Texas",0.407,0.019
"Baylor County, Texas",0.515,0.063
"Bee County, Texas",0.476,0.028
"Bell County, Texas",0.424,0.008
"Bexar County, Texas",0.463,0.004
"Blanco County, Texas",0.44,0.027
"Borden County, Texas",0.502,0.065
"Bosque County, Texas",0.421,0.026
"Bowie County, Texas",0.469,0.016
"Brazoria County, Texas",0.416,0.008
"Brazos County, Texas",0.529,0.012
"Brewster County, Texas",0.49,0.041
"Briscoe County, Texas",0.392,0.039
"Brooks County, Texas",0.512,0.025
"Brown County, Texas",0.476,0.03
"Burleson County, Texas",0.409,0.02
"Burnet County, Texas",0.442,0.023
"Caldwell County, Texas",0.428,0.018
"Calhoun County, Texas",0.436,0.027
"Callahan County, Texas",0.423,0.032
"Cameron County, Texas",0.492,0.008
"Camp County, Texas",0.436,0.03
"Carson County, Texas",0.385,0.025
"Cass County, Texas",0.456,0.023
"Castro County, Texas",0.419,0.029
"Chambers County, Texas",0.384,0.021
"Cherokee County, Texas",0.45,0.02
"Childress County, Texas",0.438,0.034
"Clay County, Texas",0.385,0.02
"Cochran County, Texas",0.397,0.031
"Coke County, Texas",0.381,0.027
"Coleman County, Texas",0.497,0.028
"Collin County, Texas",0.424,0.006
"Collingsworth County, Texas",0.496,0.05
"Colorado County, Texas",0.46,0.022
"Comal County, Texas",0.439,0.013
"Comanche County, Texas",0.43,0.025
"Concho County, Texas",0.415,0.029
"Cooke County, Texas",0.438,0.026
"Coryell County, Texas",0.382,0.015
"Cottle County, Texas",0.393,0.03
"Crane County, Texas",0.387,0.037
"Crockett County, Texas",0.47,0.1
"Crosby County, Texas",0.45,0.028
"Culberson County, Texas",0.541,0.088
"Dallam County, Texas",0.396,0.043
"Dallas County, Texas",0.492,0.004
"Dawson County, Texas",0.455,0.035
"Deaf Smith County, Texas",0.39,0.023
"Delta County, Texas",0.451,0.047
"Denton County, Texas",0.422,0.006
"DeWitt County, Texas",0.444,0.021
"Dickens County, Texas",0.478,0.047
"Dimmit County, Texas",0.45,0.03
"Donley County, Texas",0.409,0.034
"Duval County, Texas",0.467,0.035
"Eastland County, Texas",0.451,0.026
"Ector County, Texas",0.473,0.021
"Edwards County, Texas",0.626,0.167
"Ellis County, Texas",0.404,0.01
"El Paso County, Texas",0.47,0.006
"Erath County, Texas",0.466,0.02
"Falls County, Texas",0.433,0.019
"Fannin County, Texas",0.417,0.02
"Fayette County, Texas",0.446,0.029
"Fisher County, Texas",0.413,0.031
"Floyd County, Texas",0.417,0.029
"Foard County, Texas",0.458,0.049
"Fort Bend County, Texas",0.425,0.006
"Franklin County, Texas",0.486,0.053
"Freestone County, Texas",0.484,0.035
"Frio County, Texas",0.436,0.035
"Gaines County, Texas",0.511,0.058
"Galveston County, Texas",0.449,0.007
"Garza County, Texas",0.477,0.043
"Gillespie County, Texas",0.436,0.03
"Glasscock County, Texas",0.4,0.054
"Goliad County, Texas",0.456,0.055
"Gonzales County, Texas",0.449,0.027
"Gray County, Texas",0.469,0.039
"Grayson County, Texas",0.424,0.009
"Gregg County, Texas",0.459,0.015
"Grimes County, Texas",0.438,0.03
"Guadalupe County, Texas",0.395,0.012
"Hale County, Texas",0.432,0.022
"Hall County, Texas",0.543,0.07
"Hamilton County, Texas",0.444,0.058
"Hansford County, Texas",0.389,0.026
"Hardeman County, Texas",0.385,0.035
"Hardin County, Texas",0.419,0.019
"Harris County, Texas",0.488,0.003
"Harrison County, Texas",0.45,0.014
"Hartley County, Texas",0.437,0.049
"Haskell County, Texas",0.476,0.033
"Hays County, Texas",0.459,0.01
"Hemphill County, Texas",0.429,0.043
"Henderson County, Texas",0.46,0.014
"Hidalgo County, Texas",0.491,0.007
"Hill County, Texas",0.437,0.016
"Hockley County, Texas",0.433,0.02
"Hood County, Texas",0.446,0.021
"Hopkins County, Texas",0.433,0.018
"Houston County, Texas",0.493,0.033
"Howard County, Texas",0.437,0.019
"Hudspeth County, Texas",0.498,0.076
"Hunt County, Texas",0.453,0.014
"Hutchinson County, Texas",0.419,0.027
"Irion County, Texas",0.489,0.069
"Jack County, Texas",0.421,0.028
"Jackson County, Texas",0.457,0.036
"Jasper County, Texas",0.441,0.017
"Jeff Davis County, Texas",0.407,0.03
"Jefferson County, Texas",0.468,0.008
"Jim Hogg County, Texas",0.427,0.065
"Jim Wells County, Texas",0.452,0.018
"Johnson County, Texas",0.405,0.012
"Jones County, Texas",0.412,0.022
"Karnes County, Texas",0.441,0.026
"Kaufman County, Texas",0.394,0.01
"Kendall County, Texas",0.477,0.029
"Kenedy County, Texas",0.417,0.154
"Kent County, Texas",0.377,0.055
"Kerr County, Texas",0.451,0.018
"Kimble County, Texas",0.447,0.034
"King County, Texas",0.415,0.065
"Kinney County, Texas",0.452,0.044
"Kleberg County, Texas",0.493,0.028
"Knox County, Texas",0.442,0.032
"Lamar County, Texas",0.448,0.017
"Lamb County, Texas",0.42,0.024
"Lampasas County, Texas",0.435,0.035
"La Salle County, Texas",0.464,0.063
"Lavaca County, Texas",0.444,0.029
"Lee County, Texas",0.422,0.031
"Leon County, Texas",0.454,0.028
"Liberty County, Texas",0.413,0.011
"Limestone County, Texas",0.411,0.02
"Lipscomb County, Texas",0.429,0.035
"Live Oak County, Texas",0.429,0.04
"Llano County, Texas",0.48,0.034
"Loving County, Texas",0.207,0.221
"Lubbock County, Texas",0.48,0.01
"Lynn County, Texas",0.397,0.023
"McCulloch County, Texas",0.494,0.037
"McLennan County, Texas",0.464,0.007
"McMullen County, Texas",0.463,0.077
"Madison County, Texas",0.454,0.034
"Marion County, Texas",0.487,0.03
"Martin County, Texas",0.422,0.035
"Mason County, Texas",0.471,0.038
"Matagorda County, Texas",0.469,0.027
"Maverick County, Texas",0.473,0.026
"Medina County, Texas",0.422,0.015
"Menard County, Texas",0.506,0.047
"Midland County, Texas",0.503,0.015
"Milam County, Texas",0.462,0.022
"Mills County, Texas",0.454,0.028
"Mitchell County, Texas",0.398,0.034
"Montague County, Texas",0.438,0.02
"Montgomery County, Texas",0.46,0.007
"Moore County, Texas",0.383,0.023
"Morris County, Texas",0.444,0.021
"Motley County, Texas",0.451,0.041
"Nacogdoches County, Texas",0.485,0.016
"Navarro County, Texas",0.451,0.02
"Newton County, Texas",0.46,0.049
"Nolan County, Texas",0.446,0.02
"Nueces County, Texas",0.472,0.009
"Ochiltree County, Texas",0.423,0.029
"Oldham County, Texas",0.416,0.062
"Orange County, Texas",0.432,0.014
"Palo Pinto County, Texas",0.456,0.024
"Panola County, Texas",0.444,0.032
"Parker County, Texas",0.444,0.014
