Date,Data,Expected,Detection
26Jul14,1,0.75,0.265
25Jul14,1,0.821,0.267
24Jul14,2,0.786,0.165
23Jul14,0,0.821,0.5
22Jul14,2,0.714,0.09
21Jul14,0,0.643,0.5
20Jul14,3,0.679,0.012
19Jul14,2,0.75,0.136
18Jul14,0,0.75,0.5
17Jul14,0,0.786,0.5
16Jul14,0,0.75,0.5
15Jul14,0,0.786,0.5
14Jul14,1,1,0.542
13Jul14,0,1,0.5
12Jul14,0,1,0.5
11Jul14,1,1.042,0.518
10Jul14,1,1.125,0.556
09Jul14,1,1.25,0.619
08Jul14,0,1.292,0.5
07Jul14,1,1.333,0.614
06Jul14,1,1.25,0.585
05Jul14,1,1.071,0.423
04Jul14,3,1.107,0.075
03Jul14,0,1.143,0.5
02Jul14,0,1.179,0.5
01Jul14,0,1.179,0.5
30Jun14,0,1.214,0.5
29Jun14,2,1.25,0.246
28Jun14,2,1.464,0.402
27Jun14,0,1.5,0.5
26Jun14,0,1.571,0.5
25Jun14,2,1.536,0.4
24Jun14,1,1.571,0.659
23Jun14,1,1.571,0.682
22Jun14,0,1.607,0.5
21Jun14,0,1.571,0.5
20Jun14,1,1.786,0.67
19Jun14,2,1.786,0.494
18Jun14,0,1.821,0.5
17Jun14,1,1.821,0.718
16Jun14,0,1.964,0.5
15Jun14,1,2.036,0.705
14Jun14,2,2.036,0.531
13Jun14,1,2.071,0.726
12Jun14,1,2.107,0.654
11Jun14,2,2.036,0.431
10Jun14,2,2.036,0.377
09Jun14,4,2,0.153
08Jun14,2,2,0.502
07Jun14,2,2.143,0.558
06Jun14,1,2.143,0.76
05Jun14,0,2.179,0.5
04Jun14,1,2.321,0.769
03Jun14,1,2.25,0.749
02Jun14,1,2.179,0.616
01Jun14,2,2.25,0.416
31May14,3,2.143,0.25
30May14,1,2.071,0.277
29May14,6,2.143,0.027
28May14,3,2.143,0.321
27May14,3,2.179,0.382
26May14,0,2.357,0.5
25May14,1,2.321,0.78
24May14,0,2.321,0.5
23May14,2,2.214,0.484
22May14,1,2.179,0.398
21May14,6,2.308,0.034
20May14,1,2.423,0.796
19May14,1,2.269,0.617
18May14,1,2.308,0.328
17May14,6,2.385,0.021
16May14,3,2.346,0.38
15May14,1,2.385,0.689
14May14,3,2.385,0.351
13May14,3,2.577,0.429
12May14,2,2.577,0.627
11May14,2,2.577,0.645
10May14,1,2.462,0.784
09May14,1,2.538,0.696
08May14,4,2.5,0.253
07May14,1,2.462,0.73
06May14,2,2.654,0.589
05May14,5,2.692,0.15
04May14,0,2.615,0.5
03May14,1,2.577,0.718
02May14,3,2.769,0.454
01May14,3,2.654,0.46
30Apr14,1,2.769,0.747
